online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe
156.2150000000,175.6460000000,106.8360000000,3.2000000000,2.4660000000,1.2340000000,2.8450000000,2.3040000000,1.1390000000,3.1660000000,2.6350000000,2.7970000000,2.9300000000,2.5440000000,14.3820000000,711.2760000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2558.4230000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1359.2760000000,1353.4760000000,0.0050000000,1199.1450000000,98545454,98546478,49947,49956,96945321,96945321,96945312,96945321,0,0,1600133,1601157,0.8355306183,0.8355306183
159.4680000000,179.9350000000,108.9480000000,3.1610000000,2.4890000000,1.1540000000,2.7690000000,2.4280000000,1.1540000000,3.2570000000,2.6650000000,2.8740000000,3.1230000000,2.6110000000,14.4780000000,738.1930000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2425.6560000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1189.1510000000,1183.3360000000,0.0030000000,1236.5050000000,98545454,96449301,49947,49956,96945321,94848144,96945321,94848144,0,0,1600133,1601157,0.8764216403,0.8764216403
164.1470000000,186.6770000000,114.7140000000,3.2720000000,2.7720000000,1.2660000000,3.0620000000,2.3080000000,1.1710000000,3.1780000000,2.6130000000,2.8380000000,2.8450000000,2.5420000000,14.8510000000,823.1860000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2693.8230000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1354.4170000000,1348.3700000000,0.0020000000,1339.4050000000,98545454,98546478,49947,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,0.9438219140,0.9438219140
152.6150000000,169.7500000000,105.4100000000,3.1710000000,2.4930000000,1.1620000000,2.8420000000,2.4000000000,1.1370000000,3.1020000000,2.6190000000,2.5810000000,2.7620000000,2.5760000000,14.0820000000,682.1540000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2275.2960000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1117.1980000000,1111.6890000000,0.0020000000,1158.0960000000,98545454,98546478,49947,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,0.8397703487,0.8397703487
150.0390000000,166.5600000000,101.7240000000,3.1370000000,2.4850000000,1.1020000000,2.8820000000,2.3660000000,1.1740000000,3.0790000000,2.5520000000,2.6400000000,2.7580000000,2.5590000000,14.2860000000,682.8440000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2230.8730000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1081.1850000000,1072.3750000000,0.0010000000,1149.6850000000,98545454,92254947,49947,49956,96945321,90653790,96945321,90653790,0,0,1600133,1601157,0.8488025083,0.8488025083
151.4560000000,170.1820000000,102.6020000000,3.2310000000,2.5850000000,1.2240000000,2.9350000000,2.2480000000,1.1290000000,3.0750000000,2.6440000000,2.7990000000,2.8260000000,2.6910000000,14.2910000000,679.0620000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2169.7640000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1017.2290000000,1009.9810000000,0.0020000000,1152.5210000000,98545454,90157770,49947,49956,96945321,88556613,96945321,88556613,0,0,1600133,1601157,0.7491999425,0.7491999425
153.2200000000,172.1270000000,103.5650000000,3.2140000000,2.5240000000,1.1940000000,2.7690000000,2.3160000000,1.1710000000,3.0480000000,2.7830000000,2.7080000000,2.8760000000,2.6610000000,14.4400000000,677.5620000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2208.6650000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1052.8480000000,1046.6160000000,0.0030000000,1155.8150000000,98545454,98546478,49947,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,0.9695047411,0.9695047411
152.8710000000,170.2180000000,103.2060000000,3.3230000000,2.4440000000,1.1600000000,2.8770000000,2.2590000000,1.1210000000,3.0530000000,2.7630000000,2.7220000000,2.8850000000,2.6510000000,14.2640000000,684.4430000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2295.5250000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1135.7610000000,1130.2110000000,0.0050000000,1159.7620000000,98545454,98546478,49947,49956,96945321,96945321,96945312,96945321,0,0,1600133,1601157,1.0222810022,1.0222810022
151.7260000000,169.6860000000,103.4090000000,3.1030000000,2.5550000000,1.1410000000,2.8950000000,2.3050000000,1.0600000000,3.0000000000,2.6160000000,2.7010000000,2.7830000000,2.5550000000,13.9110000000,659.4310000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2233.4630000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1101.1480000000,1095.6010000000,0.0010000000,1132.3140000000,98545454,98546478,49947,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,0.9164750960,0.9164750960
152.0460000000,167.5300000000,100.8300000000,3.1230000000,2.6140000000,1.1360000000,2.8780000000,2.3280000000,1.1470000000,3.1040000000,2.6630000000,2.7560000000,2.8450000000,2.6210000000,14.1940000000,658.1580000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2285.1760000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1157.7620000000,1151.6090000000,0.0020000000,1127.4120000000,98545454,98546478,49947,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,1.0351688238,1.0351688238
