online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe
151.7990000000,169.5770000000,103.3680000000,3.2020000000,2.6050000000,1.1490000000,2.8330000000,2.2990000000,1.1880000000,3.1530000000,2.6320000000,2.7140000000,2.8970000000,2.5920000000,14.0800000000,691.7200000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2305.2280000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1139.9620000000,1134.0070000000,0.0020000000,1165.2660000000,98545454,98546478,49956,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,0.9265278377,0.9265278377
150.2290000000,168.0510000000,101.4240000000,3.1320000000,2.5310000000,1.1640000000,2.7970000000,2.3680000000,1.1750000000,3.1520000000,2.6140000000,2.6940000000,2.8510000000,2.6590000000,14.2240000000,690.5840000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2228.1400000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1069.0760000000,1062.1940000000,0.0030000000,1159.0620000000,98545454,98546478,49956,49956,96945321,96945321,96945321,94848144,0,0,1600133,1601157,0.8830122405,0.8830122405
153.3930000000,169.3490000000,106.0180000000,3.2060000000,2.5030000000,1.1320000000,2.7330000000,2.3010000000,1.1440000000,3.1790000000,2.6190000000,2.7570000000,2.9060000000,2.5510000000,13.9940000000,687.0820000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2419.6340000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1255.2320000000,1248.6070000000,0.0020000000,1164.4000000000,98545454,98546478,49956,49956,96945321,96945321,96945312,96945321,0,0,1600133,1601157,0.8581336564,0.8581336564
151.8880000000,167.9700000000,102.3360000000,3.2420000000,2.5340000000,1.0810000000,2.7750000000,2.2670000000,1.1630000000,3.0770000000,2.7590000000,2.7470000000,2.9490000000,2.5910000000,14.3490000000,686.1170000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2237.9860000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1080.5460000000,1075.0470000000,0.0040000000,1157.4370000000,98545454,98546478,49956,49956,96945321,96945321,96945312,96945321,0,0,1600133,1601157,0.9541965655,0.9541965655
154.9050000000,174.1160000000,108.4570000000,3.2300000000,2.5750000000,1.1720000000,2.7420000000,2.3310000000,1.2580000000,3.1550000000,2.5530000000,2.7980000000,2.9210000000,2.4770000000,14.2650000000,736.0420000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2307.3760000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1084.8180000000,1079.0290000000,0.0040000000,1222.5560000000,98545454,98546478,49956,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,1.0308714036,1.0308714036
151.9650000000,167.9140000000,102.5190000000,3.1460000000,2.4710000000,1.1510000000,2.7110000000,2.3170000000,1.1360000000,3.2130000000,2.6740000000,2.7070000000,3.0100000000,2.5570000000,14.1370000000,699.3010000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2399.7750000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1229.3980000000,1221.7690000000,0.0010000000,1170.3760000000,98545454,98546478,49956,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,0.9463696458,0.9463696458
151.3310000000,170.5610000000,103.0800000000,3.2770000000,2.5640000000,1.1370000000,2.7770000000,2.3670000000,1.0950000000,3.1460000000,2.5820000000,2.7000000000,2.9100000000,2.6160000000,14.2240000000,687.5900000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2271.8660000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1110.5320000000,1104.3060000000,0.0010000000,1161.3320000000,98545454,98546478,49956,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,1.1253752785,1.1253752785
150.4960000000,169.2490000000,102.1260000000,3.1460000000,2.4740000000,1.1330000000,2.7840000000,2.3280000000,1.1340000000,3.1540000000,2.6600000000,2.8490000000,2.8390000000,2.6570000000,14.0710000000,685.7120000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2244.3810000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1088.0120000000,1081.3510000000,0.0020000000,1156.3670000000,98545454,98546478,49956,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,1.1501251709,1.1501251709
151.2650000000,169.3790000000,102.1820000000,3.0760000000,2.5160000000,1.1590000000,2.7710000000,2.3390000000,1.1630000000,3.1960000000,2.5770000000,2.7510000000,3.0070000000,2.5080000000,14.1360000000,698.4240000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2229.0290000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1059.1360000000,1053.4440000000,0.0010000000,1169.8930000000,98545454,98546478,49956,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,0.8765744763,0.8765744763
157.3110000000,176.8990000000,109.4090000000,3.2410000000,2.6330000000,1.1970000000,2.8170000000,2.2490000000,1.1680000000,3.2060000000,2.5640000000,2.8710000000,3.0500000000,2.5150000000,14.5130000000,734.2010000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2591.0270000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1363.5220000000,1356.9470000000,0.0050000000,1227.5040000000,98545454,98546478,49956,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,0.9287193832,0.9287193832
